Hap_ID	0	1	2	3	4	5	6	7	8	9
0	0.05789243617169729	0.9421075638283026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.17401927759122957	0.8259807224087704	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.7425309351309598	0.2574690648690401	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.744180203705769	0.0649207788593772	0.0	0.06348754991901027	0.06280169854998578	0.06460976896585773
7	0.0	0.0	0.0	0.31238548288375917	0.0	0.0	0.6876145171162408	0.0	0.0	0.0
8	0.0	0.0	0.24742878904570467	0.20528767393870678	0.0	0.0	0.5472835370155885	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.5632146531848167	0.4367853468151833	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	0.0	0.0	0.6488974590694955	0.3511025409305046	0.0	0.0
11	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.6179952709860989	0.0	0.0	0.0	0.0	0.3820047290139012
13	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.372980094547408	0.627019905452592	0.0	0.0
16	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0	0.5017009799069035	0.0	0.4982990200930964	0.0	0.0	0.0
18	0.0	0.0	0.0	0.0	0.0	0.0	0.5820788225905537	0.4179211774094463	0.0	0.0
19	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
